Port,,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,,,
,,CRS/LPTIM1/SYS_AF,LPTIM1/ TIM1/TIM2/TIM5/TIM8,LPTIM1/LPTIM2/LPTIM3/ TIM1/TIM2/TIM3/TIM4/TIM5,ADF1/I2C4/OCTOSPIM_P1/OTG_FS/SAI1/SPI2/TIM1/TIM8/ USART2,DCMI/I2C1/I2C2/I2C3/I2C4/ LPTIM3,DCMI/I2C4/MDF1/OCTOSPIM_P1/OCTOSPIM_P2/SPI1/SPI2/SPI3,I2C3/MDF1/OCTOSPIM_P2/SPI3,USART1/USART2/USART3,LPUART1/SDMMC1/UART4/UART5,CAN1/TSC,CRS/DCMI/OCTOSPIM_P1/OCTOSPIM_P2/OTG_FS,LPGPIO1/ SDMMC2/UCPD1/FMC,COMP1/COMP2/FMC/SDMMC1/SDMMC2,LPTIM2/LPTIM4/SAI1/SAI2,TIM2/TIM15/TIM16/TIM17/LPTIM2,EVENTOUT,ADC,COMP,DAC
PortA,PA0,,TIM2_CH1,TIM5_CH1,TIM8_ETR,,,SPI3_RDY,USART2_CTS,UART4_TX,,OCTOSPIM_P2_NCS,,SDMMC2_CMD,AUDIOCLK,TIM2_ETR,EVENTOUT,ADC1_IN5,,
PortA,PA1,LPTIM1_CH2,TIM2_CH2,TIM5_CH2,,I2C1_SMBA,SPI1_SCK,,USART2_RTS/USART2_DE,UART4_RX,,OCTOSPIM_P1_DQS,LPGPIO1_P0,,,TIM15_CH1N,EVENTOUT,ADC1_IN6,,
PortA,PA2,,TIM2_CH3,TIM5_CH3,,,SPI1_RDY,,USART2_TX,LPUART1_TX,,OCTOSPIM_P1_NCS,UCPD1_FRSTX1,,,TIM15_CH1,EVENTOUT,ADC1_IN7,COMP1_ INP3,
PortA,PA3,,TIM2_CH4,TIM5_CH4,SAI1_CK1,,,,USART2_RX,LPUART1_RX,,OCTOSPIM_P1_CLK,LPGPIO1_P1,,SAI1_MCLK_A,TIM15_CH2,EVENTOUT,ADC1_IN8,,
PortA,PA4,,,,OCTOSPIM_P1 _NCS,,SPI1_NSS,SPI3_NSS,USART2_CK,,,DCMI_HSYNC/PSSI_DE,,,SAI1_FS_B,LPTIM2_CH1,EVENTOUT,ADC1_IN9/ADC4_IN9,,DAC1_ OUT1
PortA,PA5,CSLEEP,TIM2_CH1,TIM2_ETR,TIM8_CH1N,PSSI_D14,SPI1_SCK,,USART3_RX,,,,,,,LPTIM2_ETR,EVENTOUT,ADC1_IN10/ADC4_IN10,,DAC1_ OUT2
PortA,PA6,CDSTOP,TIM1_BKIN,TIM3_CH1,TIM8_BKIN,DCMI_PIXCLK/PSSI_PDCK,SPI1_MISO,,USART3_CTS,LPUART1_CTS,,OCTOSPIM_P1_IO3,LPGPIO1_P2,,,TIM16_CH1,EVENTOUT,ADC1_IN11/ADC4_IN11,,
PortA,PA7,SRDSTOP,TIM1_CH1N,TIM3_CH2,TIM8_CH1N,I2C3_SCL,SPI1_MOSI,,USART3_TX,,,OCTOSPIM_P1_IO2,,,LPTIM2_CH2,TIM17_CH1,EVENTOUT,ADC1_IN12/ADC4_IN20,,
PortA,PA8,MCO,TIM1_CH1,,SAI1_CK2,,SPI1_RDY,,USART1_CK,,,OTG_FS_SOF,,TRACECLK,SAI1_SCK_A,LPTIM2_CH1,EVENTOUT,,,
